Tiempo,Temperatura
0,19.2
600,14.4
1200,14.2
1800,13.9
2400,13.6
3000,12.8
3840,12.5
4440,12.3
5040,12.2
5760,11.4
6540,11.1
7140,11.2
8460,10.9
9060,10.7
9660,10.3
