Tiempo,Resistencia,Temperatura
0,10970,23.04
30,10426,24.20
60,11144,22.68
90,11868,21.25
120,12593,19.92
150,13422,18.50
180,14607,16.63
210,15659,15.10
240,15788,14.93
270,17162,13.12
300,18136,11.93
330,18771,11.20
360,19521,10.36
390,20401,9.43
420,20955,8.87
450,21433,8.39
480,21925,7.92
510,22331,7.54
540,22747,7.15
570,23282,6.67
600,23722,6.28
630,23947,6.08
660,24061,5.99
690,24290,5.79
720,24523,5.59
750,24877,5.30
780,25118,5.10
810,25362,4.90
840,25362,4.90
870,25485,4.80
901,25734,4.60
931,26243,4.20
961,26115,4.30
991,26373,4.10
1021,26635,3.90
1051,25987,4.40
1081,22331,7.54
1111,16665,13.75
1141,14141,17.34
1171,12948,19.30
1201,12152,20.72
1231,11821,21.34
1261,11500,21.97
1291,11409,22.15
1321,11365,22.23
1351,11500,21.97
1381,11500,21.97
1411,11365,22.23
1441,11320,22.32
1471,11365,22.23
1501,11454,22.06
1531,11409,22.15
1561,11500,21.97
1591,11454,22.06
1621,11500,21.97
1651,11500,21.97
1681,11590,21.79
1711,11500,21.97
1742,11636,21.70
1772,11636,21.70
1802,11682,21.61
1832,11774,21.43
1862,11774,21.43
1892,11868,21.25
1922,12056,20.90
1952,11961,21.08
1982,12009,20.99
2012,11868,21.25
2042,12009,20.99
2072,12056,20.90
2102,12104,20.81
2132,12104,20.81
2162,12200,20.63
2192,12104,20.81
2222,12200,20.63
2252,12297,20.45
2282,12009,20.99
2312,12395,20.27
2342,12346,20.36
2372,12543,20.01
2402,12395,20.27
2432,12493,20.10
2462,12543,20.01
2492,12493,20.10
2522,12493,20.10
2552,12643,19.83
2583,12643,19.83
2613,12693,19.74
2643,12794,19.57
2673,12794,19.57
2703,12845,19.48
2733,12794,19.57
2763,12845,19.48
2793,13000,19.21
2823,12948,19.30
2853,12948,19.30
2883,13052,19.12
2913,13104,19.03
2943,13156,18.94
2973,13209,18.85
3003,13156,18.94
3033,13422,18.50
3063,13315,18.67
3093,13422,18.50
3123,13315,18.67
3153,13422,18.50
3183,13475,18.41
3213,13584,18.23
3243,13530,18.32
3273,13475,18.41
3303,13422,18.50
3333,13639,18.14
3363,13584,18.23
3393,13693,18.05
3424,13693,18.05
3454,13804,17.87
3484,13804,17.87
3514,13315,18.67
3544,13804,17.87
3574,13915,17.70
3604,13971,17.61
3634,14199,17.25
3664,14028,17.52
3694,14141,17.34
3724,14141,17.34
3754,14028,17.52
3784,14141,17.34
3814,14085,17.43
3844,14141,17.34
3874,14314,17.07
3904,14489,16.81
3934,14141,17.34
3964,14430,16.89
3994,14489,16.81
4024,14430,16.89
4054,14666,16.54
4084,14430,16.89
4114,14548,16.72
4144,14372,16.98
4174,14489,16.81
4204,14607,16.63
4234,14607,16.63
4265,14430,16.89
4295,14607,16.63
4325,14607,16.63
4355,14907,16.18
4385,14847,16.27
4415,14968,16.09
4445,14847,16.27
4475,14786,16.36
4505,15091,15.91
4535,14968,16.09
4565,15091,15.91
4595,14786,16.36
4625,15215,15.73
4655,15153,15.82
4685,15277,15.64
4715,15153,15.82
4745,15277,15.64
4775,15215,15.73
4805,15340,15.55
4835,15403,15.46
4865,15723,15.02
4895,15340,15.55
4925,15277,15.64
4955,15403,15.46
4985,15854,14.83
5015,15530,15.28
5045,15403,15.46
5075,15723,15.02
5106,15530,15.28
5136,15659,15.10
5166,15530,15.28
5196,15659,15.10
5226,15985,14.66
5256,15788,14.93
5286,15985,14.66
5316,16185,14.39
5346,15919,14.75
5376,16118,14.48
5406,15985,14.66
5436,16052,14.56
5466,16052,14.56
5496,16321,14.20
5526,16118,14.48
5556,16052,14.56
5586,16052,14.56
5616,16118,14.48
5646,16253,14.29
5676,16321,14.20
5706,16734,13.66
5736,16185,14.39
5766,16389,14.11
5796,16253,14.29
5826,16526,13.93
5856,16457,14.02
5886,16253,14.29
5917,16457,14.02
5947,16389,14.11
5977,16526,13.93
6007,16457,14.02
6037,16665,13.75
6067,16595,13.84
6097,16734,13.66
6127,16805,13.57
6157,16734,13.66
6187,16805,13.57
6217,16805,13.57
6247,16665,13.75
6277,16946,13.39
6307,16734,13.66
6337,16875,13.48
6367,16805,13.57
6397,17829,12.30
6427,17089,13.21
6457,17018,13.30
6487,16595,13.84
6517,17307,12.94
6547,17162,13.12
6577,17234,13.03
6607,17162,13.12
6637,17018,13.30
6667,17234,13.03
