Tiempo,Resistencia,Temperatura
0,12152,20.72
30,12104,20.81
60,12248,20.54
90,12744,19.65
120,13475,18.41
150,14372,16.98
180,15340,15.55
210,16321,14.20
240,17307,12.94
270,18292,11.75
300,19099,10.83
330,19867,9.99
360,20584,9.24
390,21336,8.49
420,21925,7.92
450,22537,7.34
480,23065,6.86
510,23500,6.47
540,23947,6.08
570,24406,5.69
600,24758,5.40
630,25118,5.10
660,25609,4.70
690,25860,4.50
720,26115,4.30
750,26373,4.10
780,26635,3.90
810,26767,3.80
840,26900,3.70
870,27170,3.49
901,26767,3.80
931,26900,3.70
961,27170,3.49
991,27443,3.29
1021,27582,3.19
1051,27861,2.98
1081,28003,2.88
1111,28145,2.78
1141,28433,2.57
1171,28003,2.88
1201,28579,2.47
1231,28579,2.47
1261,28726,2.36
1291,28874,2.26
1321,29023,2.15
1351,28726,2.36
1381,28874,2.26
1411,29023,2.15
1441,29023,2.15
1471,29023,2.15
1501,29023,2.15
1531,29023,2.15
1561,29023,2.15
1591,29023,2.15
1621,29023,2.15
1651,29023,2.15
1681,29173,2.05
1711,29173,2.05
1741,29023,2.15
1772,29023,2.15
1802,29023,2.15
1832,29173,2.05
1862,29173,2.05
1892,29023,2.15
1922,29173,2.05
1952,29173,2.05
1982,29325,1.94
2012,29023,2.15
2042,29023,2.15
2072,29325,1.94
2102,29942,1.52
2132,29942,1.52
2162,29631,1.74
2192,29173,2.05
2222,29023,2.15
2252,29023,2.15
2282,29477,1.84
2312,29631,1.74
2342,28874,2.26
2372,29477,1.84
2402,29631,1.74
2432,29325,1.94
2462,29023,2.15
2492,29325,1.94
2522,29477,1.84
2552,29325,1.94
2582,29325,1.94
2612,28874,2.26
2643,29173,2.05
2673,29325,1.94
2703,29631,1.74
2733,29325,1.94
2763,29631,1.74
2793,28579,2.47
2823,31071,0.78
2853,28289,2.67
2883,29631,1.74
2913,29325,1.94
2943,31237,0.67
2973,29477,1.84
3003,29477,1.84
3033,30258,1.31
3063,29325,1.94
3093,28726,2.36
3123,29023,2.15
3153,29477,1.84
3183,29477,1.84
3213,29477,1.84
3243,29477,1.84
3273,29023,2.15
3303,29631,1.74
3333,29631,1.74
3363,29325,1.94
3393,29477,1.84
3423,29173,2.05
3453,29477,1.84
3483,29631,1.74
3514,30906,0.89
3544,29631,1.74
3574,29631,1.74
3604,29942,1.52
3634,29023,2.15
3664,29631,1.74
3694,29173,2.05
3724,29477,1.84
3754,28874,2.26
3784,29631,1.74
3814,29325,1.94
3844,29325,1.94
3874,29325,1.94
3904,29325,1.94
3934,29325,1.94
3964,29477,1.84
3994,29325,1.94
4024,29173,2.05
4054,29477,1.84
4084,29477,1.84
4114,29631,1.74
