Tiempo,Resistencia,Temperatura
29,10268,18.93
59,10268,18.93
89,10268,18.93
119,10268,18.93
149,10470,18.54
179,9951,19.58
209,9835,19.82
239,9797,19.90
269,9721,20.06
299,9683,20.14
329,9683,20.14
