Tiempo,Resistencia,Temperatura
29,9759,19.98
59,10148,19.18
89,10636,18.22
119,10974,17.59
149,11459,16.73
179,11919,15.96
209,12157,15.57
239,12351,15.26
269,12548,14.96
299,12648,14.81
329,12800,14.58
359,12851,14.50
389,12954,14.35
419,12954,14.35
449,13374,13.74
479,13215,13.97
509,13162,14.05
539,13268,13.90
569,13268,13.90
599,13321,13.82
629,13374,13.74
659,13374,13.74
689,13374,13.74
719,13428,13.67
749,13482,13.59
779,13978,12.92
809,13536,13.52
839,13590,13.44
870,13645,13.37
900,13645,13.37
930,13645,13.37
960,13700,13.29
990,13755,13.22
1020,13110,14.12
1050,13810,13.14
1080,13866,13.07
1110,14035,12.84
1140,14148,12.69
1170,14148,12.69
1200,14148,12.69
1230,14206,12.62
1260,14206,12.62
1290,14263,12.54
1320,14379,12.39
1350,14321,12.47
1380,14035,12.84
1410,14674,12.02
1440,14321,12.47
1470,14555,12.17
1500,14379,12.39
1530,14438,12.32
1560,13978,12.92
1590,14438,12.32
1620,14438,12.32
1650,14379,12.39
1680,14976,11.65
1711,14379,12.39
1741,14496,12.24
1771,14496,12.24
1801,14438,12.32
1831,14496,12.24
1861,14555,12.17
1891,14555,12.17
1921,14615,12.09
1951,14555,12.17
1981,14615,12.09
2011,14615,12.09
2041,14674,12.02
2071,14674,12.02
2101,14615,12.09
2131,14734,11.94
2161,14734,11.94
2191,14734,11.94
2221,14794,11.87
2251,14794,11.87
2281,14794,11.87
2311,14854,11.80
2341,14854,11.80
2371,14854,11.80
2401,14976,11.65
2431,14976,11.65
2461,14976,11.65
2491,15037,11.57
2522,15099,11.50
2552,15099,11.50
2582,15161,11.42
2612,15161,11.42
2642,15286,11.27
2672,15603,10.90
2702,15223,11.35
2732,15286,11.27
2762,15286,11.27
2792,15286,11.27
2822,15286,11.27
2852,15349,11.20
2882,15286,11.27
2912,15539,10.98
2942,15349,11.20
2972,15412,11.12
3002,15412,11.12
3032,15412,11.12
3062,15475,11.05
3092,15539,10.98
3122,15539,10.98
3152,15603,10.90
3182,15603,10.90
3212,15668,10.83
3242,15995,10.46
3272,15349,11.20
3302,15668,10.83
3333,15668,10.83
3363,15732,10.75
3393,15732,10.75
3423,15798,10.68
3453,15863,10.61
3483,16128,10.31
3513,15798,10.68
3543,15929,10.53
3573,15929,10.53
3603,15929,10.53
3633,15929,10.53
3663,15929,10.53
3693,15995,10.46
3723,15995,10.46
3753,15995,10.46
3783,15995,10.46
3813,16061,10.38
3843,16128,10.31
3873,16128,10.31
3903,16128,10.31
3933,16061,10.38
3963,16195,10.24
3993,16195,10.24
4023,16467,9.94
4053,16263,10.16
4083,15995,10.46
4113,16331,10.09
4144,16263,10.16
4174,16331,10.09
4204,16399,10.01
4234,16263,10.16
4264,16399,10.01
4294,16399,10.01
4324,16467,9.94
4354,16536,9.87
4384,16536,9.87
4414,16606,9.79
4444,16536,9.87
4474,16606,9.79
4504,16606,9.79
4534,16606,9.79
4564,16675,9.72
4594,16675,9.72
4624,16675,9.72
4654,16675,9.72
4684,16745,9.64
4714,16745,9.64
4744,16745,9.64
4774,16816,9.57
4804,16745,9.64
4834,16886,9.50
4864,16816,9.57
4894,16957,9.42
4924,16886,9.50
4955,16675,9.72
5290,17466,8.91
