Tiempo,Resistencia,Temperatura
0,11013,22.95
30,11276,22.41
60,12009,20.99
90,13262,18.76
120,14607,16.63
150,16185,14.39
180,17380,12.85
210,18690,11.29
240,19867,9.99
270,20584,9.24
300,21530,8.30
330,22537,7.34
360,23282,6.67
390,23722,6.28
420,24061,5.99
450,24640,5.50
480,24997,5.20
510,25609,4.70
540,25860,4.50
570,26243,4.20
600,26503,4.00
630,25860,4.50
660,25860,4.50
690,25485,4.80
720,24175,5.89
750,25362,4.90
780,25118,5.10
810,25734,4.60
840,25118,5.10
870,25118,5.10
901,25118,5.10
931,25362,4.90
961,24877,5.30
991,24877,5.30
1021,24758,5.40
1051,24997,5.20
1081,23065,6.86
1111,24997,5.20
1141,25362,4.90
1171,25118,5.10
1201,24997,5.20
1231,24997,5.20
1261,25485,4.80
1291,25118,5.10
1321,24877,5.30
1351,26115,4.30
1381,25860,4.50
1411,25987,4.40
1441,25609,4.70
1471,26503,4.00
1501,25485,4.80
1531,25485,4.80
1561,25240,5.00
1591,25485,4.80
1621,25734,4.60
1651,25362,4.90
1681,25609,4.70
1711,25485,4.80
1741,25734,4.60
1771,25860,4.50
1802,25362,4.90
1832,25485,4.80
1862,25987,4.40
1892,25485,4.80
1922,25485,4.80
1952,25734,4.60
1982,25734,4.60
2012,25987,4.40
2042,25860,4.50
2072,25734,4.60
2102,25860,4.50
2132,25860,4.50
2162,25987,4.40
2192,25609,4.70
2222,25734,4.60
2252,25609,4.70
2282,25609,4.70
2312,25609,4.70
2342,25734,4.60
2372,25860,4.50
2402,25860,4.50
2432,25987,4.40
2462,25734,4.60
2492,26635,3.90
2522,25860,4.50
2552,25734,4.60
2582,25987,4.40
2612,26115,4.30
2642,25987,4.40
2673,26115,4.30
2703,26115,4.30
2733,26115,4.30
2763,25987,4.40
2793,25609,4.70
2823,25860,4.50
2853,25734,4.60
2883,26243,4.20
2913,25734,4.60
2943,25734,4.60
2973,25860,4.50
3003,25987,4.40
3033,25987,4.40
3063,25987,4.40
3093,25734,4.60
3123,25987,4.40
3153,25860,4.50
3183,27170,3.49
3213,26115,4.30
3243,25987,4.40
3273,26373,4.10
3303,25860,4.50
3333,25860,4.50
3363,26115,4.30
3393,26115,4.30
3423,26115,4.30
3453,26503,4.00
3483,25987,4.40
3514,26243,4.20
3544,26115,4.30
3574,26243,4.20
3604,25987,4.40
3634,25860,4.50
3664,26373,4.10
3694,25860,4.50
3724,26115,4.30
3754,25860,4.50
3784,26243,4.20
3814,26243,4.20
3844,26115,4.30
3874,26115,4.30
3904,26503,4.00
3934,26243,4.20
3964,26767,3.80
3994,25860,4.50
4024,26243,4.20
4054,25987,4.40
4084,26115,4.30
4114,26767,3.80
4144,26115,4.30
4174,26373,4.10
4204,26373,4.10
4234,26373,4.10
4264,26243,4.20
4294,26243,4.20
4324,26373,4.10
4354,26635,3.90
4385,26243,4.20
4415,25860,4.50
4445,26503,4.00
4475,26373,4.10
4505,26503,4.00
4535,25987,4.40
4565,26503,4.00
4595,25987,4.40
4625,25987,4.40
4655,25987,4.40
4685,26115,4.30
4715,26115,4.30
4745,26243,4.20
4775,26243,4.20
4805,25987,4.40
4835,26503,4.00
4865,26767,3.80
4895,26243,4.20
4925,26373,4.10
4955,28289,2.67
4985,25987,4.40
5015,26635,3.90
5045,26503,4.00
5075,26243,4.20
5105,26243,4.20
5135,26373,4.10
5165,26503,4.00
5195,25734,4.60
5225,26243,4.20
5256,27035,3.59
5286,26900,3.70
5316,26503,4.00
