Tiempo,Resistencia,Temperatura
0,111914,22.00
29,11914,21.17
59,11914,21.17
89,12395,20.27
119,13530,18.32
149,14907,16.18
179,16457,14.02
209,18058,12.02
239,19183,10.74
269,20492,9.34
299,21336,8.49
329,22537,7.34
359,23500,6.47
389,24175,5.89
419,24877,5.30
449,25485,4.80
479,25860,4.50
509,26503,4.00
539,27035,3.59
569,27443,3.29
599,27170,3.49
629,28145,2.78
659,28579,2.47
689,29023,2.15
719,29023,2.15
749,29631,1.74
779,29631,1.74
809,29786,1.63
839,30258,1.31
869,30418,1.21
900,30418,1.21
930,30742,0.99
960,30906,0.89
990,31237,0.67
1020,31237,0.67
1050,31405,0.57
1080,31405,0.57
1276,31917,0.24
1306,29477,1.84
