Tiempo,Temperatura
-1200,3.2
-600,1.8
0,11.4
600,12.4
1200,12.6
1800,12.6
2400,12
3000,11.1
3600,10.7
4200,10.1
4800,9.7
5400,9.2
6000,8.8
6600,8.5
7200,8.3
7800,7.9
8400,7.5
8580,7.4
